Location,Percent_Urban_2020,Classification
Dolores,20.209755797502616,Rural
General Luna,0.0,Rural
General Nakar,17.311906501095688,Rural
Guinayangan,12.925417186967875,Rural
Gumaca,17.97142142281282,Rural
Infanta,32.19095371853096,Rural
Jomalig,0.0,Rural
Lopez,20.969394762141206,Rural
Lucban,43.828520841573905,Suburban
Macalelon,1.3766842413591096,Rural
Mauban,46.586288881698344,Suburban
Mulanay,0.0,Rural
Padre Burgos,7.259025885558583,Rural
Pagbilao,61.01778907242694,Suburban
Panukulan,0.0,Rural
Patnanungan,43.15705554079192,Suburban
Perez,0.0,Rural
Pitogo,4.267918238441968,Rural
Plaridel,0.0,Rural
Polillo,31.562617525385484,Rural
Quezon,0.0,Rural
Real,20.86974507471948,Rural
Sampaloc,0.0,Rural
San Andres,70.57457147434187,Suburban
San Antonio,0.0,Rural
San Francisco (Aurora),30.313863793742048,Rural
San Narciso,10.9287476986956,Rural
Sariaya,43.5762473126251,Suburban
Tagkawayan,8.262503934966576,Rural
City of Tayabas,40.63714960322392,Suburban
Tiaong,55.86599538888628,Suburban
Unisan,0.0,Rural
CITY OF LUCENA (CAPITAL),94.04031205633075,Urban
RIZAL,94.6448545903284,Urban
Angono,92.80656581911812,Urban
City of Antipolo (Capital),99.87716912009141,Urban
Baras,76.66967148578797,Suburban
Binangonan,88.24574101412169,Urban
Cainta,99.57048069550822,Urban
Cardona,46.883912011646686,Suburban
Jala-Jala,32.05162124819943,Rural
Rodriguez (Montalban),98.10430810399275,Urban
Morong,81.59126365054603,Urban
Pililla,90.29006779897952,Urban
San Mateo,100.0,Urban
Tanay,81.50265385167121,Urban
Taytay,100.0,Urban
Teresa,92.30553127731302,Urban

MIMAROPA REGION,35.24858466225479,Rural
MARINDUQUE,5.195082083718286,Rural
Boac (Capital),9.404186233262923,Rural
Buenavista,13.086049994240295,Rural
Gasan,0.0,Rural
Mogpog,0.0,Rural
Santa Cruz,1.1263073209975865,Rural
Torrijos,9.896311851949074,Rural
OCCIDENTAL MINDORO,47.43239796403949,Suburban
Abra de Ilog,19.237548328405733,Rural
Calintaan,40.61278569062603,Suburban
Looc,0.0,Rural
Lubang,0.0,Rural
Magsaysay,24.34430558000352,Rural
Mamburao (Capital),70.99046221570066,Suburban
Paluan,0.0,Rural
Rizal,29.117712533082692,Rural
Sablayan,53.7711397654377,Suburban
San Jose,71.42698689215553,Suburban
Santa Cruz,36.72112596364665,Rural
ORIENTAL MINDORO,24.441095229864622,Rural
Baco,0.0,Rural
Bansud,29.753228187762183,Rural
Bongabong,8.760214620711158,Rural
Bulalacao (San Pedro),45.94960104584592,Suburban
City of Calapan (Capital),36.79982988764353,Rural
Gloria,5.139020912547529,Rural
Mansalay,50.70710829921846,Suburban
Naujan,4.453082938669732,Rural
Pinamalayan,35.12496819092086,Rural
Pola,0.0,Rural
Puerto Galera,57.05774409570792,Suburban
Roxas,44.8639738993016,Suburban
San Teodoro,0.0,Rural
Socorro,5.432247204520861,Rural
Victoria,12.906564446574029,Rural
PALAWAN,40.36041098602162,Suburban
Aborlan,6.521065675340769,Rural
Agutaya,0.0,Rural
Araceli,0.0,Rural
Balabac,53.81992616455429,Suburban
Bataraza,45.61382974988003,Suburban
Brooke's Point,41.23307295186096,Suburban
Busuanga,20.654253035093884,Rural
Cagayancillo,0.0,Rural
Coron,64.22898792802368,Suburban
Cuyo,32.18102090340159,Rural
Dumaran,0.0,Rural
El Nido (Bacuit),61.2706460173486,Suburban
Linapacan,0.0,Rural
Magsaysay,0.0,Rural
Narra,61.54615897778007,Suburban
Quezon,50.41894520778764,Suburban
Roxas,32.27048144318051,Rural
San Vicente,38.65162503357508,Rural
Taytay,35.915400026392504,Rural
Kalayaan,0.0,Rural
Culion,7.276095291431525,Rural
Rizal (Marcos),65.8114027278231,Suburban
Sofronio Española,35.66923241394056,Rural
CITY OF PUERTO PRINCESA (CAPITAL),83.96438701441649,Urban
ROMBLON,5.610951987960581,Rural
Alcantara,0.0,Rural
Banton,0.0,Rural
Cajidiocan,0.0,Rural
Calatrava,0.0,Rural
Concepcion,0.0,Rural
Corcuera,0.0,Rural
Looc,0.0,Rural
Magdiwang,0.0,Rural
Odiongan,15.824608392175959,Rural
Romblon (Capital),10.038467228880013,Rural
San Agustin,0.0,Rural
San Andres,0.0,Rural
San Fernando,22.618013321749203,Rural
San Jose,0.0,Rural
Santa Fe,0.0,Rural
Ferrol,0.0,Rural
Santa Maria (Imelda),0.0,Rural

REGION V (BICOL REGION),23.796953880731614,Rural
ALBAY,30.496345565215364,Rural
Bacacay,20.98503138580396,Rural
Camalig,14.052913578190502,Rural
Daraga (Locsin),44.92915985152323,Suburban
Guinobatan,23.388431678828713,Rural
Jovellar,0.0,Rural
City of Legazpi (Capital),69.1547393489331,Suburban
Libon,9.685239700025308,Rural
City of Ligao,21.380910445739058,Rural
Malilipot,26.203588124434003,Rural
Malinao,6.576643105812849,Rural
Manito,10.033636572127513,Rural
Oas,0.0,Rural
Pio Duran,11.306297126553902,Rural
Polangui,23.917870278998834,Rural
Rapu-Rapu,16.6385438853697,Rural
Santo Domingo (Libog),8.595260161525221,Rural
City of Tabaco,45.55941004958818,Suburban
Tiwi,34.49082276238396,Rural
CAMARINES NORTE,24.36497437664662,Rural
Basud,0.0,Rural
Capalonga,0.0,Rural
Daet (Capital),64.07520143240824,Suburban
San Lorenzo Ruiz (Imelda),0.0,Rural
Jose Panganiban,22.68543244007414,Rural
Labo,15.006636459334525,Rural
Mercedes,13.595619329887592,Rural
Paracale,28.394631050865478,Rural
San Vicente,0.0,Rural
Santa Elena,36.3177458583819,Rural
Talisay,0.0,Rural
Vinzons,21.561110884547936,Rural
CAMARINES SUR,29.7585294578396,Rural
Baao,19.189176003772786,Rural
Balatan,34.047409436238546,Rural
Bato,12.867414437733679,Rural
Bombon,0.0,Rural
Buhi,15.18092145721103,Rural
Bula,17.186880494374034,Rural
Cabusao,26.50464766059095,Rural
Calabanga,25.038805030031718,Rural
Camaligan,32.493209777919795,Rural
Canaman,16.32923629332965,Rural
Caramoan,8.558227652335294,Rural
Del Gallego,0.0,Rural
Gainza,0.0,Rural
Garchitorena,28.20356026634053,Rural
Goa,11.034357134850353,Rural
City of Iriga,54.31209974051391,Suburban
Lagonoy,1.8813696794442292,Rural
Libmanan,14.555640122484379,Rural
Lupi,0.0,Rural
Magarao,53.743175529130205,Suburban
Milaor,9.9078408856697,Rural
Minalabac,12.70076508401104,Rural
Nabua,33.401549312059196,Rural
City of Naga,94.33953243773007,Urban
Ocampo,8.697354766706479,Rural
Pamplona,43.032568072610786,Suburban
Pasacao,54.692205533005364,Suburban
Pili (Capital),74.83265454252188,Suburban
Presentacion (Parubcan),23.168518436545526,Rural
Ragay,0.0,Rural
Sagñay,0.0,Rural
San Fernando,22.127582457412107,Rural
San Jose,0.0,Rural
Sipocot,18.809136117590107,Rural
Siruma,0.0,Rural
Tigaon,20.10607362368647,Rural
Tinambac,7.831737346101231,Rural
CATANDUANES,9.291265599770487,Rural
Bagamanoc,0.0,Rural
Baras,0.0,Rural
Bato,2.9244068420084606,Rural
Caramoran,0.0,Rural
Gigmoto,0.0,Rural
Pandan,0.0,Rural
Panganiban (Payo),0.0,Rural
San Andres (Calolbon),0.3300415800415801,Rural
San Miguel,0.0,Rural
Viga,0.0,Rural
Virac (Capital),32.01515943544172,Rural
MASBATE,13.186529067464683,Rural
Aroroy,21.319509682969066,Rural
Baleno,0.0,Rural
Balud,3.5313161499190637,Rural
Batuan,0.0,Rural
Cataingan,14.240562590127018,Rural
Cawayan,4.2575615390168196,Rural
Claveria,0.0,Rural
Dimasalang,0.0,Rural
Esperanza,0.0,Rural
Mandaon,11.96001994469879,Rural
City of Masbate (Capital),61.61573639999235,Suburban
Milagros,8.747262678577636,Rural
Mobo,8.666682997329938,Rural
Monreal,23.966777936735017,Rural
Palanas,0.0,Rural
Pio V. Corpuz (Limbuhan),0.0,Rural
