Location,Percent_Urban_2020,Classification
Placer,9.162229321973731,Rural
San Fernando,0.0,Rural
San Jacinto,0.0,Rural
San Pascual,0.0,Rural
Uson,0.0,Rural
SORSOGON,13.76869746758301,Rural
Barcelona,0.0,Rural
Bulan,12.410875558513167,Rural
Bulusan,0.0,Rural
Casiguran,7.786079433739677,Rural
Castilla,10.723179681701987,Rural
Donsol,0.0,Rural
Gubat,2.982054599130925,Rural
Irosin,13.231646616160763,Rural
Juban,0.0,Rural
Magallanes,0.0,Rural
Matnog,0.0,Rural
Pilar,0.0,Rural
Prieto Diaz,0.0,Rural
Santa Magdalena,0.0,Rural
City of Sorsogon (Capital),45.065491640007245,Suburban

REGION VI (WESTERN VISAYAS),42.15363627369552,Suburban
AKLAN,24.251350582883138,Rural
Altavas,0.0,Rural
Balete,28.152210036556998,Rural
Banga,4.62820576417481,Rural
Batan,0.0,Rural
Buruanga,0.0,Rural
Ibajay,5.807424948437858,Rural
Kalibo (Capital),80.78360092901141,Urban
Lezo,11.445744612826907,Rural
Libacao,0.0,Rural
Madalag,0.0,Rural
Makato,0.0,Rural
Malay,76.61001714466434,Suburban
Malinao,0.0,Rural
Nabas,5.220023626698169,Rural
New Washington,12.726514440621417,Rural
Numancia,21.976297873532623,Rural
Tangalan,0.0,Rural
ANTIQUE,11.141092444377739,Rural
Anini-Y,0.0,Rural
Barbaza,6.528532899524809,Rural
Belison,0.0,Rural
Bugasong,12.729265197831353,Rural
Caluya,34.96710188136116,Rural
Culasi,8.562952308176383,Rural
Tobias Fornier (Dao),9.341731724627396,Rural
Hamtic,0.0,Rural
Laua-an,0.0,Rural
Libertad,0.0,Rural
Pandan,1.5765327401640483,Rural
Patnongon,16.092253906963396,Rural
San Jose (Capital),41.96039299969297,Suburban
San Remigio,0.0,Rural
Sebaste,0.0,Rural
Sibalom,5.9342346435229425,Rural
Tibiao,13.667560882137755,Rural
Valderrama,0.0,Rural
CAPIZ,21.860309683061846,Rural
Cuartero,0.0,Rural
Dao,0.0,Rural
Dumalag,8.478968702239351,Rural
Dumarao,14.172019553185471,Rural
Ivisan,0.0,Rural
Jamindan,0.0,Rural
Ma-ayon,0.0,Rural
Mambusao,14.354878348488572,Rural
Panay,7.036203722642667,Rural
Panitan,12.167273581581112,Rural
Pilar,12.779193205944797,Rural
Pontevedra,14.966314731020613,Rural
President Roxas,20.70101378361956,Rural
City of Roxas (Capital),70.7187158378511,Suburban
Sapi-an,19.51530134472038,Rural
Sigma,0.0,Rural
Tapaz,0.0,Rural
GUIMARAS,14.246015268150893,Rural
Buenavista,7.389553677763285,Rural
Jordan (Capital),33.93317494818784,Rural
Nueva Valencia,8.48705898856702,Rural
San Lorenzo,19.681429153647603,Rural
Sibunag,0.0,Rural
ILOILO,13.66217343056359,Rural
Ajuy,6.0304515356701955,Rural
Alimodian,20.885151805045062,Rural
Anilao,0.0,Rural
Badiangan,0.0,Rural
Balasan,21.15845311430527,Rural
Banate,11.418384467881113,Rural
Barotac Nuevo,9.579551705170516,Rural
Barotac Viejo,25.614020652486936,Rural
Batad,0.0,Rural
Bingawan,0.0,Rural
Cabatuan,2.390770741286205,Rural
Calinog,3.1995290598698554,Rural
Carles,19.57817641147074,Rural
Concepcion,17.543073510631146,Rural
Dingle,11.25421516371152,Rural
Dueñas,0.0,Rural
Dumangas,9.366838522848752,Rural
Estancia,28.582706766917294,Rural
Guimbal,22.285991662383644,Rural
Igbaras,2.742491536478554,Rural
Janiuay,8.455364896834666,Rural
Lambunao,3.6634004628489834,Rural
Leganes,23.369330453563713,Rural
Lemery,0.0,Rural
Leon,18.39969224850933,Rural
Maasin,0.0,Rural
Miagao,5.597885928209646,Rural
Mina,0.0,Rural
New Lucena,0.0,Rural
Oton,42.51286684465379,Suburban
City of Passi,10.72204156492973,Rural
Pavia,81.31215548104791,Urban
Pototan,8.173899716467854,Rural
San Dionisio,7.5189510346240525,Rural
San Enrique,5.060821977188372,Rural
San Joaquin,0.0,Rural
San Miguel,19.259505229951852,Rural
San Rafael,15.689800505760045,Rural
Santa Barbara,9.77081176992459,Rural
Sara,7.752987901971192,Rural
Tigbauan,10.543336654149742,Rural
Tubungan,0.0,Rural
Zarraga,6.478666910822193,Rural
CITY OF ILOILO (CAPITAL),79.76338756976222,Suburban
NEGROS OCCIDENTAL,64.7447441494496,Suburban
City of Bago,84.21003085612678,Urban
Binalbagan,74.1159830268741,Suburban
City of Cadiz,93.47184377838329,Urban
Calatrava,14.074388175430094,Rural
Candoni,15.637236326891498,Rural
Cauayan,62.66961651917404,Suburban
Enrique B. Magalona (Saravia),11.350132213407994,Rural
City of Escalante,65.10779022244407,Suburban
City of Himamaylan,82.11286992429456,Urban
Hinigaran,43.822335196661754,Suburban
Hinoba-an (Asia),53.55130206194036,Suburban
Ilog,40.0551332386601,Suburban
Isabela,29.116808233616464,Rural
City of Kabankalan,83.57126444819627,Urban
City of La Carlota,81.03774150966039,Urban
La Castellana,70.4989181301263,Suburban
Manapla,70.05791260461486,Suburban
Moises Padilla (Magallon),42.6326446090838,Suburban
Murcia,52.70063464914255,Suburban
Pontevedra,37.284870279989725,Rural
Pulupandan,7.258359066308065,Rural
City of Sagay,66.47346434376134,Suburban
City of San Carlos,93.48812664907652,Urban
San Enrique,30.256028456797786,Rural
City of Silay,97.35894173730438,Urban
City of Sipalay,51.38306095406361,Suburban
City of Talisay,67.74095804754427,Suburban
Toboso,66.90988606283807,Suburban
Valladolid,9.045904590459045,Rural
City of Victorias,68.06139776473069,Suburban
Salvador Benedicto,26.253621573434366,Rural
CITY OF BACOLOD (CAPITAL),98.0735140641463,Urban

REGION VII (CENTRAL VISAYAS),51.925825675563985,Suburban
BOHOL,17.618725566204247,Rural
Alburquerque,0.0,Rural
Alicia,0.0,Rural
Anda,20.626617167285406,Rural
Antequera,0.0,Rural
Baclayon,0.0,Rural
Balilihan,0.0,Rural
Batuan,14.322860238353197,Rural
Bilar,9.366897147796024,Rural
Buenavista,0.0,Rural
Calape,8.449469451918135,Rural
Candijay,0.0,Rural
Carmen,13.766745949462301,Rural
Catigbian,9.140936777987818,Rural
Clarin,0.0,Rural
Corella,0.0,Rural
Cortes,12.816179677278674,Rural
Dagohoy,0.0,Rural
Danao,0.0,Rural
Dauis,60.70067819858264,Suburban
Dimiao,0.0,Rural
Duero,0.0,Rural
Garcia Hernandez,0.0,Rural
Guindulman,6.922941590429275,Rural
Inabanga,0.0,Rural
Jagna,22.390600580486716,Rural
Getafe,0.0,Rural
Lila,0.0,Rural
Loay,0.0,Rural
Loboc,0.0,Rural
Loon,2.5257778581765558,Rural
Mabini,0.0,Rural
Maribojoc,8.927766254847146,Rural
Panglao,72.03745073922538,Suburban
Pilar,0.0,Rural
Pres. Carlos P. Garcia (Pitogo),0.0,Rural
Sagbayan (Borja),0.0,Rural
San Isidro,0.0,Rural
San Miguel,0.0,Rural
Sevilla,0.0,Rural
Sierra Bullones,0.0,Rural
Sikatuna,0.0,Rural
City of Tagbilaran (Capital),97.93000304831581,Urban
Talibon,32.154282186552926,Rural
Trinidad,10.757709501978987,Rural
Tubigon,24.00075178549054,Rural
Ubay,11.187178327363414,Rural
Valencia,0.0,Rural
Bien Unido,0.0,Rural
CEBU,50.36126643982577,Suburban
Alcantara,0.0,Rural
Alcoy,0.0,Rural
Alegria,30.320062451209996,Rural
Aloguinsan,26.179423199675046,Rural
Argao,9.277757171908373,Rural
Asturias,12.098128057476035,Rural
Badian,0.0,Rural
Balamban,55.545745038681474,Suburban
Bantayan,42.79337252310225,Suburban
Barili,6.294988539924426,Rural
City of Bogo,50.20873890195461,Suburban
Boljoon,0.0,Rural
Borbon,25.66318380600728,Rural
City of Carcar,94.46989073160722,Urban
Carmen,38.0002418087293,Rural
Catmon,0.0,Rural
Compostela,58.62297311808713,Suburban
Consolacion,83.97427235629543,Urban
Cordova,69.86472129754232,Suburban
Daanbantayan,53.1710551645954,Suburban
Dalaguete,18.676604643680626,Rural
Danao City,64.65925883278638,Suburban
Dumanjug,8.223371322830015,Rural
Ginatilan,0.0,Rural
Liloan,92.19175310221479,Urban
Madridejos,12.604962059040414,Rural
Malabuyoc,0.0,Rural
Medellin,45.118698095797335,Suburban
Minglanilla,89.45179534045906,Urban
Moalboal,26.47711887354454,Rural
City of Naga,71.0430682364248,Suburban
Oslob,15.192728266812466,Rural
Pilar,0.0,Rural
Pinamungajan,38.7137133806285,Rural
Poro,0.0,Rural
Ronda,0.0,Rural
Samboan,0.0,Rural
San Fernando,54.23958794860434,Suburban
San Francisco,51.07704774123844,Suburban
San Remigio,8.729313701630566,Rural
Santa Fe,25.911635867830928,Rural
Santander,0.0,Rural
Sibonga,24.15206648697215,Rural
Sogod,0.0,Rural
Tabogon,0.0,Rural
Tabuelan,18.735946310582214,Rural
City of Talisay,96.64281804081385,Urban
City of Toledo,78.37965598078277,Suburban
Tuburan,3.5119632666832925,Rural
Tudela,0.0,Rural
CITY OF CEBU (CAPITAL),94.19458621880604,Urban
CITY OF LAPU-LAPU (OPON),95.72933497319154,Urban
CITY OF MANDAUE,100.0,Urban
NEGROS ORIENTAL,36.43207559019952,Rural
Amlan (Ayuquitan),5.6912162426998005,Rural
Ayungon,0.0,Rural
Bacong,24.932657072827432,Rural
City of Bais,50.853327324264384,Suburban
Basay,37.68882969401703,Rural
City of Bayawan (Tulong),63.64880608080035,Suburban
Bindoy (Payabon),24.35744765307135,Rural
City of Canlaon,44.37625378259835,Suburban
Dauin,25.861149976680657,Rural
City of Dumaguete (Capital),85.76169064077612,Urban
City of Guihulngan,32.5455891521197,Rural
Jimalalud,0.0,Rural
La Libertad,0.0,Rural
Mabinay,14.645642713343701,Rural
Manjuyod,10.74131118998192,Rural
Pamplona,18.00025122472051,Rural
San Jose,10.293313900528329,Rural
Santa Catalina,39.760777280293155,Rural
Siaton,30.063070219782865,Rural
Sibulan,75.84508027291236,Suburban
City of Tanjay,38.75874252801239,Rural
Tayasan,0.0,Rural
Valencia (Luzurriaga),9.309890790798544,Rural
Vallehermoso,14.230363667573997,Rural
Zamboanguita,47.55656261625351,Suburban
SIQUIJOR,5.356158421587117,Rural
Enrique Villanueva,0.0,Rural
Larena,19.814584198145845,Rural
Lazi,0.0,Rural
Maria,0.0,Rural
San Juan,7.351952575933509,Rural
Siquijor (Capital),5.087324917862701,Rural

REGION VIII (EASTERN VISAYAS),14.65693896176726,Rural
BILIRAN,15.49422236102436,Rural
Almeria,0.0,Rural
Biliran,0.0,Rural
Cabucgayan,20.425215857394857,Rural
Caibiran,0.0,Rural
Culaba,0.0,Rural
Kawayan,0.0,Rural
Maripipi,0.0,Rural
Naval (Capital),40.1859521886332,Suburban
EASTERN SAMAR,2.2778141032089327,Rural
Arteche,0.0,Rural
Balangiga,0.0,Rural
Balangkayan,0.0,Rural
City of Borongan (Capital),13.715762704798431,Rural
Can-avid,0.0,Rural
Dolores,0.0,Rural
General Macarthur,0.0,Rural
Giporlos,0.0,Rural
Guiuan,1.8721538202057681,Rural
Hernani,0.0,Rural
Jipapad,0.0,Rural
Lawaan,0.0,Rural
Llorente,0.0,Rural
Maslog,0.0,Rural
Maydolong,0.0,Rural
Mercedes,0.0,Rural
Oras,0.0,Rural
Quinapondan,0.0,Rural
Salcedo,0.0,Rural
San Julian,0.0,Rural
San Policarpo,0.0,Rural
Sulat,0.0,Rural
Taft,0.0,Rural
LEYTE,14.799192051988719,Rural
Abuyog,1.7789466806063774,Rural
Alangalang,0.0,Rural
Albuera,47.568450297978835,Suburban
Babatngon,17.77399993061097,Rural
Barugo,0.0,Rural
Bato,7.884690299961044,Rural
City of Baybay,4.110042200128746,Rural
Burauen,1.249262059378035,Rural
Calubian,0.0,Rural
Capoocan,0.0,Rural
Carigara,14.002122365339579,Rural
Dagami,0.0,Rural
Dulag,0.822583278902678,Rural
Hilongos,12.927426605077969,Rural
Hindang,0.0,Rural
Inopacan,0.0,Rural
Isabel,52.37382698103931,Suburban
Jaro,0.0,Rural
Javier (Bugho),0.0,Rural
Julita,0.0,Rural
Kananga,21.09354060573573,Rural
La Paz,0.0,Rural
Leyte,13.951531054286209,Rural
Macarthur,0.0,Rural
Mahaplag,0.0,Rural
Matag-ob,0.0,Rural
Matalom,0.0,Rural
Mayorga,0.0,Rural
Merida,13.121555710394627,Rural
Ormoc City,47.11426072953013,Suburban
Palo,33.936467531785915,Rural
Palompon,8.847083840653028,Rural
Pastrana,0.0,Rural
San Isidro,0.0,Rural
San Miguel,0.0,Rural
Santa Fe,0.0,Rural
Tabango,36.214125428132746,Rural
Tabontabon,0.0,Rural
Tanauan,6.521625620050473,Rural
Tolosa,26.72397141201468,Rural
Tunga,17.75078369905956,Rural
Villaba,0.0,Rural
CITY OF TACLOBAN (CAPITAL),55.960155787852194,Suburban
NORTHERN SAMAR,11.241328815086689,Rural
Allen,19.2722371967655,Rural
Biri,0.0,Rural
Bobon,7.598983207518102,Rural
Capul,0.0,Rural
Catarman (Capital),42.92544876837729,Suburban
Catubig,0.0,Rural
Gamay,0.0,Rural
Laoang,7.77302951804247,Rural
Lapinig,0.0,Rural
Las Navas,0.0,Rural
Lavezares,6.042871725076557,Rural
Mapanas,0.0,Rural
Mondragon,13.594108414825545,Rural
Palapag,0.0,Rural
Pambujan,0.0,Rural
Rosario,0.0,Rural
San Antonio,0.0,Rural
San Isidro,7.966411885025298,Rural
San Jose,9.239839011393912,Rural
San Roque,23.545947393079448,Rural
San Vicente,0.0,Rural
Silvino Lobos,0.0,Rural
Victoria,0.0,Rural
Lope de Vega,0.0,Rural
SAMAR (WESTERN SAMAR),14.950143913825686,Rural
Almagro,0.0,Rural
Basey,1.9793596189468114,Rural
City of Calbayog,37.30584082156611,Rural
Calbiga,0.0,Rural
City of Catbalogan (Capital),43.71758737316798,Suburban
Daram,0.0,Rural
Gandara,0.0,Rural
Hinabangan,0.0,Rural
Jiabong,0.0,Rural
Marabut,0.0,Rural
Matuguinao,0.0,Rural
Motiong,0.0,Rural
Pinabacdao,0.0,Rural
San Jose de Buan,0.0,Rural
San Sebastian,0.0,Rural
Santa Margarita,0.0,Rural
Santa Rita,0.0,Rural
Santo Niño,0.0,Rural
Talalora,0.0,Rural
Tarangnan,0.0,Rural
Villareal,0.0,Rural
Paranas (Wright),3.644900228578489,Rural
Zumarraga,0.0,Rural
Tagapul-an,0.0,Rural
San Jorge,0.0,Rural
Pagsanghan,0.0,Rural
SOUTHERN LEYTE,7.792389186471217,Rural
Anahawan,0.0,Rural
Bontoc,0.0,Rural
Hinunangan,2.1887543311948954,Rural
Hinundayan,0.0,Rural
Libagon,0.0,Rural
Liloan,0.0,Rural
City of Maasin (Capital),27.158474944537197,Rural
Macrohon,0.0,Rural
Malitbog,0.0,Rural
Padre Burgos,0.0,Rural
Pintuyan,0.0,Rural
Saint Bernard,0.0,Rural
San Francisco,0.0,Rural
San Juan (Cabalian),0.0,Rural
San Ricardo,0.0,Rural
Silago,0.0,Rural
Sogod,19.109606325706597,Rural
Tomas Oppus,0.0,Rural
Limasawa,0.0,Rural

REGION IX (ZAMBOANGA PENINSULA),38.43152604928919,Rural
ZAMBOANGA DEL NORTE,16.844828656123653,Rural
City of Dapitan,4.156005727565081,Rural
City of Dipolog (Capital),88.22796997270905,Urban
Katipunan,0.0,Rural
La Libertad,0.0,Rural
Labason,0.0,Rural
Liloy,12.401392935825456,Rural
Manukan,11.266841976848212,Rural
Mutia,0.0,Rural
Piñan (New Piñan),15.711389149893677,Rural
Polanco,0.0,Rural
Pres. Manuel A. Roxas,3.6200826572784326,Rural
Rizal,11.274249269200107,Rural
Salug,0.0,Rural
Sergio Osmeña Sr.,0.0,Rural
Siayan,0.0,Rural
Sibuco,0.0,Rural
Sibutad,0.0,Rural
Sindangan,2.632945975065415,Rural
Siocon,11.750886159426264,Rural
Sirawai,28.4407791290954,Rural
Tampilisan,19.590761750405186,Rural
Jose Dalman (Ponot),17.471694193414354,Rural
Gutalac,5.868661679135494,Rural
Baliguian,0.0,Rural
Godod,0.0,Rural
Bacungan (Leon T. Postigo),0.0,Rural
Kalawit,25.35276331261549,Rural
ZAMBOANGA DEL SUR,26.003932736125968,Rural
Aurora,18.999905651476553,Rural
Bayog,0.0,Rural
Dimataling,0.0,Rural
Dinas,0.0,Rural
Dumalinao,10.453109815354713,Rural
Dumingag,0.0,Rural
Kumalarang,24.461481054309846,Rural
Labangan,9.601915864624283,Rural
Lapuyan,20.770090492843494,Rural
Mahayag,16.243938828795226,Rural
Margosatubig,41.02431453698914,Suburban
Midsalip,7.674052979739551,Rural
Molave,45.286036883703424,Suburban
City of Pagadian (Capital),73.39630889704065,Suburban
Ramon Magsaysay (Liargo),0.0,Rural
San Miguel,0.0,Rural
San Pablo,0.0,Rural
Tabina,22.483873474780445,Rural
Tambulig,0.0,Rural
Tukuran,18.221028070423532,Rural
Lakewood,24.398163180110394,Rural
Josefina,0.0,Rural
Pitogo,30.41139700537869,Rural
Sominot (Don Mariano Marcos),0.0,Rural
Vincenzo A. Sagun,20.356510542411073,Rural
Guipos,25.13110681755451,Rural
Tigbao,0.0,Rural
CITY OF ZAMBOANGA,89.0195183548669,Urban
ZAMBOANGA SIBUGAY,17.5206019347904,Rural
Alicia,0.0,Rural
Buug,20.481457384515288,Rural
Diplahan,16.114776737762774,Rural
Imelda,19.965411222136815,Rural
Ipil (Capital),52.105681144506214,Suburban
Kabasalan,9.026533572220801,Rural
Mabuhay,0.0,Rural
Malangas,22.88114421335332,Rural
Naga,0.0,Rural
Olutanga,24.098548311566677,Rural
Payao,16.588464179446095,Rural
Roseller Lim,3.823293172690763,Rural
Siay,0.0,Rural
Talusan,33.419438165967065,Rural
Titay,16.29625513945994,Rural
Tungawan,13.035249585994796,Rural
CITY OF ISABELA [BASILAN],40.26491996410465,Suburban

REGION X (NORTHERN MINDANAO),50.33557193961576,Suburban
BUKIDNON,54.255411637388505,Suburban
Baungon,44.91390692786506,Suburban
Damulog,37.955851686079036,Rural
Dangcagan,26.41509433962264,Rural
Don Carlos,34.62821012515699,Rural
Impasug-ong,62.78707090210348,Suburban
Kadingilan,18.701645175633615,Rural
Kalilangan,44.693555397954746,Suburban
Kibawe,19.013294507959998,Rural
Kitaotao,14.478771655885195,Rural
Lantapan,71.32506745081396,Suburban
Libona,44.378637802512,Suburban
City of Malaybalay (Capital),73.26649607785562,Suburban
Malitbog,25.58243895142291,Rural
Manolo Fortich,73.67932862190813,Suburban
Maramag,73.89304941224272,Suburban
Pangantucan,42.610463061152345,Suburban
Quezon,47.69028679851127,Suburban
San Fernando,45.080498056943455,Suburban
Sumilao,78.5716704480038,Suburban
Talakag,13.78737325872746,Rural
City of Valencia,80.31919315064697,Urban
Cabanglasan,19.327013173124623,Rural
CAMIGUIN,25.346952848892336,Rural
Catarman,0.0,Rural
Guinsiliban,0.0,Rural
Mahinog,20.70520705207052,Rural
Mambajao (Capital),49.87102740059376,Suburban
Sagay,0.0,Rural
LANAO DEL NORTE,16.914740863906864,Rural
Bacolod,26.70414905404851,Rural
Baloi,44.31753450668225,Suburban
Baroy,0.0,Rural
Kapatagan,18.48619967716674,Rural
Sultan Naga Dimaporo (Karomatan),13.435899119926443,Rural
Kauswagan,0.0,Rural
Kolambugan,6.867150185742084,Rural
Lala,36.59925093632958,Rural
Linamon,34.63726550378485,Rural
Magsaysay,0.0,Rural
Maigo,14.62055962634443,Rural
Matungao,0.0,Rural
Munai,0.0,Rural
Nunungan,0.0,Rural
Pantao Ragat,0.0,Rural
Poona Piagapo,0.0,Rural
Salvador,18.807410867196015,Rural
Sapad,23.14790632889353,Rural
Tagoloan,0.0,Rural
Tangcal,0.0,Rural
Tubod (Capital),29.411059852615185,Rural
Pantar,0.0,Rural
CITY OF ILIGAN,92.39221734161353,Urban
MISAMIS OCCIDENTAL,22.731977717050604,Rural
Aloran,0.0,Rural
Baliangao,0.0,Rural
Bonifacio,0.0,Rural
Calamba,41.41731605459164,Suburban
Clarin,23.854050208354508,Rural
Concepcion,0.0,Rural
Jimenez,14.7255180047736,Rural
Lopez Jaena,0.0,Rural
City of Oroquieta (Capital),32.84878494073388,Rural
City of Ozamiz,55.501874100360574,Suburban
Panaon,0.0,Rural
Plaridel,8.800200803212851,Rural
Sapang Dalaga,0.0,Rural
Sinacaban,0.0,Rural
City of Tangub,14.888359239058913,Rural
Tudela,6.087625441449002,Rural
Don Victoriano Chiongbian,0.0,Rural
MISAMIS ORIENTAL,38.9551677291253,Rural
Alubijid,0.0,Rural
Balingasag,33.64656852860119,Rural
Balingoan,0.0,Rural
Binuangan,0.0,Rural
Claveria,20.168451541598383,Rural
City of El Salvador,58.989978050399,Suburban
City of Gingoog,31.587148312338147,Rural
Gitagum,0.0,Rural
Initao,32.965606748864374,Rural
Jasaan,60.68004557006398,Suburban
Kinoguitan,0.0,Rural
Lagonglong,0.0,Rural
Laguindingan,14.201722110533701,Rural
Libertad,40.562248995983936,Suburban
Lugait,40.911522933994846,Suburban
Magsaysay (Linugos),0.0,Rural
Manticao,44.06325290983746,Suburban
Medina,26.69605750870493,Rural
Naawan,25.458919978613437,Rural
Opol,80.21770922851931,Urban
Salay,20.114674311620774,Rural
Sugbongcogon,0.0,Rural
Tagoloan,98.59310997397876,Urban
Talisayan,20.736772640813633,Rural
Villanueva,59.67737945025854,Suburban
CITY OF CAGAYAN DE ORO (CAPITAL),95.77280128280812,Urban

REGION XI (DAVAO REGION),66.83529969089561,Suburban
DAVAO DE ORO (COMPOSTELA VALLEY),53.20286575284641,Suburban
Compostela,70.71670152641182,Suburban
Laak (San Vicente),32.23941613162119,Rural
Mabini (Doña Alicia),66.11866274797943,Suburban
Maco,38.42161538738782,Rural
Maragusan (San Mariano),42.95007141526423,Suburban
Mawab,54.70212712270697,Suburban
Monkayo,58.14641727966616,Suburban
Montevista,31.89355212852786,Rural
Nabunturan (Capital),47.41759544700024,Suburban
New Bataan,57.3854583608596,Suburban
Pantukan,77.0691516313088,Suburban
DAVAO DEL NORTE,68.28969554431464,Suburban
Asuncion (Saug),36.059005057114696,Rural
Carmen,52.94813333658466,Suburban
Kapalong,65.6929984704199,Suburban
New Corella,43.363320843333966,Suburban
City of Panabo,80.0559193232328,Urban
Island Garden City of Samal,31.152426544261846,Rural
Santo Tomas,67.80759635337732,Suburban
City of Tagum (Capital),92.23401597558423,Urban
Talaingod,100.0,Urban
Braulio E. Dujali,88.24204427775756,Urban
San Isidro,0.0,Rural
DAVAO DEL SUR,51.842740649628716,Suburban
Bansalan,27.594561423083668,Rural
City of Digos (Capital),87.82541300377967,Urban
Hagonoy,38.09097138038265,Rural
Kiblawan,24.67345740264474,Rural
Magsaysay,24.325044878516966,Rural
Malalag,16.126301110613078,Rural
Matanao,9.974707817433421,Rural
Padada,35.85246669790481,Rural
Santa Cruz,90.21310259579728,Urban
Sulop,22.83007595800973,Rural
CITY OF DAVAO,91.83071658218665,Urban
DAVAO OCCIDENTAL,32.26394332180389,Rural
Don Marcelino,26.36363636363636,Rural
Jose Abad Santos (Trinidad),9.562420790122784,Rural
Malita (Capital),46.62216469115121,Suburban
Santa Maria,39.88805062058895,Rural
Sarangani,23.331112591605596,Rural
DAVAO ORIENTAL,41.81277468451946,Suburban
Baganga,39.90360050413871,Rural
Banaybanay,27.41670603585971,Rural
Boston,0.0,Rural
Caraga,26.548962321176706,Rural
Cateel,33.76388354785441,Rural
Governor Generoso,38.73536925414503,Rural
Lupon,46.3996177906508,Suburban
Manay,41.870514505205705,Suburban
City of Mati (Capital),68.50156221407417,Suburban
San Isidro,23.716730038022813,Rural
Tarragona,0.0,Rural

REGION XII (SOCCSKSARGEN),55.46565973564621,Suburban
COTABATO (NORTH COTABATO),37.054623446794,Rural
Alamada,56.61894289168208,Suburban
Carmen,39.38716199140763,Rural
Kabacan,49.73433207195065,Suburban
City of Kidapawan (Capital),64.23804814946111,Suburban
Libungan,22.180952211697385,Rural
Magpet,12.901486988847582,Rural
Makilala,46.96168412433041,Suburban
Matalam,31.598549566713785,Rural
Midsayap,35.31887700762578,Rural
M'Lang,28.66744742604002,Rural
Pigkawayan,31.19406946761717,Rural
Pikit,32.33021007400334,Rural
President Roxas,30.693936624009748,Rural
Tulunan,34.38453212634065,Rural
Antipas,27.680202856397063,Rural
Banisilan,11.81827854027024,Rural
Aleosan,15.266182370161552,Rural
Arakan,21.68796234028245,Rural
SARANGANI,52.94947991398096,Suburban
Alabel (Capital),88.46580741613246,Urban
Glan,37.61399216774535,Rural
Kiamba,53.574360689634204,Suburban
Maasim,57.790267939636585,Suburban
Maitum,9.36516917505941,Rural
Malapatan,74.83310833405581,Suburban
Malungon,37.28061442184611,Rural
SOUTH COTABATO,62.224903534274546,Suburban
Banga,58.300435153200844,Suburban
City of Koronadal (Capital),83.13135241916498,Urban
Norala,28.357825285977466,Rural
Polomolok,81.40725934938153,Urban
Surallah,67.50503693754197,Suburban
Tampakan,32.134672582768545,Rural
Tantangan,39.91998950682057,Rural
T'Boli,47.31170026422824,Suburban
Tupi,67.02922718795519,Suburban
Santo Niño,26.856970549804,Rural
Lake Sebu,48.425899705741124,Suburban
CITY OF GENERAL SANTOS (DADIANGAS),98.39656396320171,Urban
SULTAN KUDARAT,41.82953731154544,Suburban
Bagumbayan,45.08825619678884,Suburban
Columbio,22.062815044590927,Rural
Esperanza,36.75431080646889,Rural
Isulan (Capital),81.32628987588471,Urban
Kalamansig,33.44204322200393,Rural
Lebak,30.673060080574533,Rural
Lutayan,68.85473158247517,Suburban
Lambayong (Mariano Marcos),18.752429802229777,Rural
Palimbang,15.178609902184686,Rural
President Quirino,20.19458384622668,Rural
City of Tacurong,72.12469927460002,Suburban
Sen. Ninoy Aquino,11.322666441508,Rural

REGION XIII (CARAGA),36.623908830186096,Rural
AGUSAN DEL NORTE,26.751018701790695,Rural
Buenavista,31.076177204900425,Rural
City of Cabadbaran,44.62005625108893,Suburban
Carmen,29.341446573450717,Rural
Jabonga,0.0,Rural
Kitcharao,15.800357176426354,Rural
Las Nieves,0.0,Rural
Magallanes,40.514959852868614,Suburban
Nasipit,41.2476016242024,Suburban
Santiago,22.242384059741074,Rural
Tubay,9.086678301337987,Rural
Remedios T. Romualdez,0.0,Rural
CITY OF BUTUAN (CAPITAL),68.45646402617254,Suburban
AGUSAN DEL SUR,38.36579127821501,Rural
City of Bayugan,38.86976136768372,Rural
Bunawan,63.72916315878094,Suburban
Esperanza,8.793152831364885,Rural
La Paz,18.576641157286318,Rural
Loreto,16.196444849589792,Rural
Prosperidad (Capital),41.31180579930028,Suburban
Rosario,59.983874218907474,Suburban
San Francisco,70.65007429420506,Suburban
San Luis,0.0,Rural
Santa Josefa,18.057657384987895,Rural
Talacogon,47.898079540299406,Suburban
Trento,41.45012111869632,Suburban
Veruela,42.180417044424296,Suburban
Sibagat,18.63533292104721,Rural
DINAGAT ISLANDS,9.535034382634624,Rural
Basilisa (Rizal),0.0,Rural
Cagdianao,12.277929155313352,Rural
Dinagat,0.0,Rural
Libjo (Albor),15.450667553044154,Rural
Loreto,14.32404540763674,Rural
San Jose (Capital),21.93744075829384,Rural
Tubajon,0.0,Rural
SURIGAO DEL NORTE,32.497437508884545,Rural
Alegria,3.108007909045971,Rural
Bacuag,37.30932061017405,Rural
Burgos,0.0,Rural
Claver,41.88937918019593,Suburban
Dapa,15.26235951182514,Rural
Del Carmen,0.0,Rural
General Luna,40.112895462302546,Suburban
Gigaquit,0.0,Rural
Mainit,13.530104571897642,Rural
Malimono,0.0,Rural
Pilar,0.0,Rural
Placer,26.880740140464614,Rural
San Benito,0.0,Rural
San Francisco (Anao-Aon),12.784257509610999,Rural
San Isidro,0.0,Rural
Santa Monica (Sapao),0.0,Rural
Sison,28.36249125262421,Rural
Socorro,29.80494950273688,Rural
